General Logger: 	2026/03/15 09:26:27 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:21:56 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:22:18 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:22:21 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:22:22 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:22:29 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:23:17 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:23:18 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:23:19 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:23:26 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:23:27 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:23:27 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:24:14 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:24:15 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:24:15 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:26:09 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:26:10 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:26:10 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:26:21 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:26:21 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:26:56 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:27:01 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:27:07 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:27:08 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:27:08 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:27:19 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:28:57 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:29:38 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:30:22 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:30:22 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:30:35 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:30:35 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:30:51 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:30:59 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:30:59 response.go:9: Data recebido: pong
